id,tipo,casa,id_edm,instancia_edm
1,1,2020001,0,0
2,1,2020001,0,1
3,1,2020001,0,2
4,1,2020001,0,3
5,1,2020001,0,4
6,1,2020001,0,5
7,1,2020001,0,6
8,1,2020001,0,7
9,1,2020001,0,8
10,1,2020001,0,9
11,1,2020001,0,10
12,1,2020001,1,0
13,1,2020001,1,1
14,1,2020001,1,2
15,1,2020001,1,3
16,1,2020001,1,4
17,1,2020001,1,5
18,1,2020001,1,6
19,1,2020001,1,7
20,1,2020001,1,8
21,1,2020001,1,9
22,1,2020001,1,10
23,3,2020001,2,0
24,3,2020001,2,1
25,3,2020001,2,2
26,3,2020001,2,3
27,3,2020001,2,4
28,3,2020001,2,5
29,3,2020001,2,6
30,3,2020001,2,7
31,3,2020001,2,8
32,3,2020001,2,9
33,3,2020001,2,10
34,8,2020001,3,0
35,8,2020001,3,1
36,8,2020001,3,2
37,8,2020001,3,3
38,8,2020001,3,4
39,8,2020001,3,5
40,8,2020001,3,6
41,8,2020001,3,7
42,8,2020001,3,8
43,8,2020001,3,9
44,8,2020001,3,10
45,4,2020001,4,0
46,4,2020001,4,1
47,4,2020001,4,2
48,4,2020001,4,3
49,4,2020001,4,4
50,4,2020001,4,5
51,4,2020001,4,6
52,4,2020001,4,7
53,4,2020001,4,8
54,4,2020001,4,9
55,4,2020001,4,10
56,5,2020001,5,0
57,5,2020001,5,1
58,5,2020001,5,2
59,5,2020001,5,3
60,5,2020001,5,4
61,5,2020001,5,5
62,5,2020001,5,6
63,5,2020001,5,7
64,5,2020001,5,8
65,5,2020001,5,9
66,5,2020001,5,10
67,2,2020001,7,0
68,2,2020001,7,1
69,2,2020001,7,2
70,2,2020001,7,3
71,2,2020001,7,4
72,2,2020001,7,5
73,2,2020001,7,6
74,2,2020001,7,7
75,2,2020001,7,8
76,2,2020001,7,9
77,2,2020001,7,10
78,7,2020001,8,0
79,7,2020001,8,1
80,7,2020001,8,2
81,7,2020001,8,3
82,7,2020001,8,4
83,7,2020001,8,5
84,7,2020001,8,6
85,7,2020001,8,7
86,7,2020001,8,8
87,7,2020001,8,9
88,7,2020001,8,10
89,1,2020004,1,1
90,1,2020004,1,2
91,1,2020004,1,3
92,4,2020004,4,1
93,4,2020004,4,2
94,4,2020004,4,3
95,9,2020004,9,1
96,9,2020004,9,2
97,9,2020004,9,3
98,3,2020004,3,1
99,3,2020004,3,2
100,3,2020004,3,3
101,1,2020010,1,1
102,1,2020010,1,2
103,1,2020010,1,3
104,4,2020010,4,3
105,4,2020010,4,2
106,4,2020010,4,1
107,2,2020010,2,1
108,2,2020010,2,2
109,2,2020010,2,3
110,5,2020010,5,1
111,5,2020010,5,2
112,5,2020010,5,3
113,7,2020010,7,1
114,7,2020010,7,2
115,7,2020010,7,3
116,3,2020010,3,2
117,1,2020012,0,0
118,1,2020012,0,1
119,1,2020012,0,2
120,1,2020012,0,3
121,1,2020012,1,0
122,1,2020012,1,1
123,1,2020012,1,2
124,1,2020012,1,3
125,7,2020012,2,0
126,7,2020012,2,1
127,7,2020012,2,2
128,7,2020012,2,3
129,7,2020012,2,4
130,4,2020012,3,0
131,4,2020012,3,1
132,4,2020012,3,2
133,4,2020012,3,3
134,4,2020012,3,4
135,5,2020012,4,0
136,5,2020012,4,1
137,5,2020012,4,2
138,5,2020012,4,3
139,5,2020012,4,4
140,6,2020012,5,0
141,6,2020012,5,1
142,6,2020012,5,2
143,6,2020012,5,3
144,6,2020012,5,4
145,6,2020015,0,0
146,6,2020015,0,1
147,6,2020015,0,2
148,6,2020015,0,3
149,6,2020015,0,4
150,6,2020015,0,5
151,6,2020015,0,6
152,6,2020015,0,7
153,7,2020015,1,0
154,7,2020015,1,1
155,7,2020015,1,2
156,7,2020015,1,3
157,7,2020015,1,4
158,7,2020015,1,5
159,7,2020015,1,6
160,7,2020015,1,7
161,11,2020015,2,0
162,11,2020015,2,1
163,11,2020015,2,2
164,11,2020015,2,3
165,11,2020015,2,4
166,11,2020015,2,5
167,11,2020015,2,6
168,11,2020015,2,7
169,8,2020015,3,0
170,8,2020015,3,1
171,8,2020015,3,2
172,8,2020015,3,3
173,8,2020015,3,4
174,8,2020015,3,5
175,8,2020015,3,6
176,8,2020015,3,7
177,11,2020015,4,0
178,11,2020015,4,1
179,11,2020015,4,2
180,11,2020015,4,3
181,11,2020015,4,4
182,11,2020015,4,5
183,11,2020015,4,6
184,11,2020015,4,7
185,4,2020015,5,0
186,4,2020015,5,1
187,4,2020015,5,2
188,4,2020015,5,3
189,4,2020015,5,4
190,4,2020015,5,5
191,4,2020015,5,6
192,4,2020015,5,7
193,2,2020015,6,0
194,2,2020015,6,1
195,2,2020015,6,2
196,2,2020015,6,3
197,2,2020015,6,4
198,2,2020015,6,5
199,2,2020015,6,6
200,2,2020015,6,7
201,8,2020003,1,2
202,4,2020003,2,1
203,4,2020003,2,2
204,6,2020003,3,1
205,6,2020003,3,2
206,1,2020003,4,1
207,1,2020003,4,2
208,3,2020003,5,1
209,3,2020003,5,2
210,7,2020003,6,1
211,7,2020003,6,2
212,2,2020003,7,1
213,2,2020003,7,2
214,2,2020003,7,3
215,0,2020003,8,1
216,0,2020003,8,2
217,4,2020004,5,1
218,4,2020004,5,2
219,4,2020004,5,3
220,9,2020004,6,1
221,9,2020004,6,2
222,9,2020004,6,3
223,6,2020006,0,0
224,2,2020006,1,0
225,2,2020006,1,1
226,2,2020006,1,2
227,2,2020006,1,3
228,11,2020006,2,0
229,5,2020006,3,0
230,5,2020006,3,1
231,11,2020006,4,0
232,11,2020006,4,1
233,11,2020006,4,2
234,11,2020006,5,0
235,11,2020006,6,0
236,11,2020006,7,0
237,11,2020006,7,1
238,3,2020010,3,3
239,1,2020011,0,0
240,1,2020011,0,1
241,1,2020011,0,2
242,1,2020011,0,3
243,2,2020011,1,0
244,2,2020011,1,1
245,2,2020011,1,2
246,2,2020011,1,3
247,7,2020011,2,0
248,7,2020011,2,1
