id,tipo,casa,id_edm,instancia_edm
1,7,2021017,1,1
2,7,2021017,1,2
3,7,2021017,1,3
4,11,2021017,2,1
5,11,2021017,2,2
6,11,2021017,2,3
7,6,2021017,3,1
8,6,2021017,3,2
9,6,2021017,3,3
10,11,2021017,4,1
11,11,2021017,4,2
12,11,2021017,4,3
13,11,2021017,5,1
14,11,2021017,5,2
15,11,2021017,5,3
16,11,2021017,6,1
17,11,2021017,6,2
18,11,2021017,6,3
19,2,2021017,7,1
20,2,2021017,7,2
21,2,2021017,7,3
22,4,2021017,8,1
23,4,2021017,8,2
24,4,2021017,8,3
25,9,2021017,9,1
26,9,2021017,9,2
27,9,2021017,9,3
28,3,2021017,11,1
29,3,2021017,11,2
30,3,2021017,11,3
31,8,2021017,12,1
32,8,2021017,12,2
33,8,2021017,12,3
34,11,2021017,13,1
35,11,2021017,13,2
36,11,2021017,13,3
37,11,2021017,14,1
38,11,2021017,14,2
39,11,2021017,14,3
40,5,2021017,15,1
41,5,2021017,15,2
42,5,2021017,15,3
43,7,2021010,10,0
44,7,2021010,10,1
45,7,2021010,10,2
46,4,2021010,11,0
47,4,2021010,11,1
48,4,2021010,11,2
49,11,2021010,12,0
50,11,2021010,12,1
51,11,2021010,12,2
52,11,2021010,13,0
53,11,2021010,13,1
54,11,2021010,13,2
55,9,2021010,14,0
56,9,2021010,14,1
57,9,2021010,14,2
58,11,2021027,1,1
59,11,2021027,1,2
60,11,2021027,1,3
61,4,2021027,2,1
62,4,2021027,2,2
63,4,2021027,2,3
64,11,2021027,3,1
65,11,2021027,3,2
66,11,2021027,3,3
67,11,2021027,3,4
68,11,2021027,3,5
69,11,2021027,3,6
70,9,2021027,4,1
71,9,2021027,4,2
72,9,2021027,4,3
73,11,2021027,5,1
74,11,2021027,5,2
75,11,2021027,5,3
76,7,2021027,6,1
77,7,2021027,6,2
78,7,2021027,6,3
79,7,2021027,6,4
80,11,2021001,2,1
81,11,2021001,2,2
82,11,2021001,2,3
83,8,2021001,3,1
84,8,2021001,3,2
85,8,2021001,3,3
86,7,2021001,4,1
87,7,2021001,4,2
88,7,2021001,4,3
89,11,2021001,5,1
90,11,2021001,5,2
91,11,2021001,5,3
92,7,2021016,0,0
93,6,2021016,1,0
94,6,2021016,1,1
95,6,2021016,1,2
96,6,2021016,1,3
97,6,2021016,1,4
98,7,2021016,0,1
99,7,2021016,0,2
100,7,2021016,0,3
101,7,2021016,0,4
102,11,2021016,2,0
103,11,2021016,2,1
104,11,2021016,2,2
105,11,2021016,2,3
106,11,2021016,2,4
107,4,2021016,3,0
108,4,2021016,3,1
109,4,2021016,3,2
110,4,2021016,3,3
111,4,2021016,3,4
112,4,2021016,3,5
113,2,2021016,4,0
114,2,2021016,4,1
115,2,2021016,4,2
116,2,2021016,4,3
117,2,2021016,4,4
118,2,2021016,4,5
119,2,2021016,4,6
120,2,2021016,4,7
121,2,2021016,4,8
